nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
Cordex Hotel Ancol,"Jl. Lodan Raya No. 2, Complex Lodan Center Blok A/9, Ancol, Jakarta Utara, Jakarta, Indonesia",Rp239.074,2,4,Jakarta Utara,-6.129498318070220,106.81656239534400
N3 Hotel Zainul Arifin,"Jl. Kh Zainul Arifin No.57 Petojo Utara, Gambir, Petojo Utara, Jakarta, Indonesia",Rp195.500,2,2,Jakarta Pusat,-6.160707889996150,106.81220143952400
Triniti Hotel Jakarta,"Jl. Pembangunan 3 No.4, Jakarta Pusat, Indonesia",Rp410.550,8,10,Jakarta Pusat,-6.162318125053850,106.8163260106880
NYENYAK MRT Lebak Bulus I Simatupang,"10, Jl. Lebak Indah Raya G No.3, RT.10/RW.7, Lebak Bulus, Cilandak, Jakarta Selatan, Jakarta",Rp226.875,2,2,Jakarta Selatan,-6.292111432374650,106.77521849905000
Flamenco Urban Living,"Jalan Tanah Abang 5 No. 17, Petojo Selatan, Kec. Gambir, Jakarta Pusat, DKI Jakarta, Indonesia, 10160",Rp261.603,4,7,Jakarta Pusat,-6.179443397050120,106.81657439719700
Win Hotel Blok M,"Jl. Panglima Polim Raya No. 99, Blok M, Jakarta Selatan, Jakarta, Indonesia",Rp293.478,2,5,Jakarta Selatan,-6.24650699734412,106.79772983952500
The Kartini 8 Residence Mangga Besar,"Jalan Kartini VIII Blok 4AC, RT 07, RW 03, Kartini, Jakarta Pusat, Indonesia",Rp281.520,3,6,Jakarta Pusat,-6.152117364941580,106.83396258529300
OYO Townhouse 1 Hotel Salemba Near RS PGI Cikini,"Jl. Salemba Raya No.26, RT.4/RW.6. Kenari, Senen, Jakarta Pusat, Jakarta, Indonesia",Rp334.726,3,3,Jakarta Pusat,-6.197905805293700,106.85165088185300
Saffron Suites Syariah,"Jl. Melati 3 Kav 3 Cilandak Timur Jakarta Selatan, Cilandak, Jakarta, Indonesia",Rp207.690,1,3,Jakarta Selatan,-6.288492659956510,106.81480737021400
RedDoorz near Kebon Jeruk Jakarta,"Jl. Panjang Arteri Kedoya No.41, Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Rp198.220,1,1,Jakarta Barat,-6.177454064411960,106.76652077021300
Hotel Royal Juanda,"Jl. Ir. H. Juanda, No. 14, Gambir, Juanda, Jakarta, Indonesia",Rp180.625,2,2,Jakarta Pusat,-6.166720027496000,106.82764068185200
LeGreen Suite Tondano,"Jl. Danau Tondano No.18, Pejompongan, Bendungan Hilir, Jakarta Pusat, Indonesia",Rp361.899,4,4,Jakarta Pusat,-6.2064245402874400,106.80757141068900
Pinxs Hostel,"Jl. Gunung Sahari 12 Block C3 - C5, Kemayoran, Gunung Sahari, Jakarta, Indonesia",Rp215.000,1,1,Jakarta Pusat,-6.148150157160690,106.83551486650800
Kamargue Residence Jakarta,"Jl. Kampung Bali X No. 3 RT 06 RW 09 Kampung Bali, Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp184.162,7,9,Jakarta Pusat,-6.185088202368120,106.82025632232800
Hotel Dequr Jakarta Kota,"Jl. Kali Besar Barat No.27, RW.3, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp180.625,2,2,Jakarta Barat,-6.13462208242688,106.81103982418000
d'primahotel WTC Mangga Dua,"Jl. Komp. Ruko Marinatama Blok A.26, Jl. Gunung Sahari Raya, Mangga Dua, Jakarta",Rp467.500,1,1,Jakarta Utara,-6.134064919254420,106.83204966465600
RedDoorz Plus @ TB Simatupang,"Jl. Haji Baun No.31, Lebak Bulus, Cilandak, Jakarta, Indonesia",Rp241.500,3,3,Jakarta Selatan,-6.29401990463441,106.78227841069000
RedDoorz Plus near Senayan City,"Jl. Pakubuwono VI No 26 A-B, RT 005, RW 008, Gunung, Kby. Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Rp321.300,2,2,Jakarta Selatan,-6.233498849056850,106.79313351068900
Front One Residence Syariah Mampang,"Jl. Mampang Prapatan 1 No.59 Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Rp250.240,2,2,Jakarta Selatan,-6.243490021910190,106.82457713952500
Apartement Cibubur Village by ARSAKHA PROPERTY,"Apartemen Cibubur Village, Jl. Radar Auri No.kelurahan, RT.8/RW.14, Cibubur, Kec. Ciracas, Jakarta Timur, Indonesia",Rp225.000,2,3,Jakarta Timur,-6.370152519083010,106.88762216651000
Business Hotel Tomang,"Jl. Tomang Raya No.51, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia",Rp295.000,4,6,Jakarta Barat,-6.174820530338260,106.8025481009010
Senayan Suites,"Jl. Tentara Pelajar Jl. Patal Senayan No.178 RT.8/RW.7, Grogol Utara, Jakarta, Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia",Rp325.500,1,3,Jakarta Selatan,-6.217193275233060,106.7929293683610
Daima Norwood Hotels,"Jl. Teuku Cik Ditiro II No. 2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp405.000,3,4,Jakarta Pusat,-6.193747506557760,106.83735115116400
Collection O 91898 Series Hotel Kuningan,"16, Jl. Perintis No.16, Setia Budi, Karet Kuningan, RT.3/RW.5, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Jakarta",Rp290.769,2,2,Jakarta Selatan,-6.228717720023480,106.82309508370500
OYO 123 Puri Lotus Near Siloam Hospitals TB Simatupang,"Jl. Taman Lebak Bulus VI/V, Blok Z, No. 10, RT.4/RW 5, Cilandak, Jakarta Selatan, Indonesia",Rp258.344,1,1,Jakarta Selatan,-6.299388554879810,106.77633199905000
OYO 137 Permata Tawakal,"Jl. Tawakal Raya, No. 40, RT. 10/RW 9, Tomang, Grogol Petamburan, Jakarta, Indonesia",Rp131.980,1,1,Jakarta Barat,-6.169252394911120,106.79477509534400
Collection O 91470 De Royal Sentra Timur,"Jalan Sentra Timur Residence, RW 06, Sentra Timur 13950 Jakarta DKI Jakarta",Rp192.000,1,1,Jakarta Timur,-6.204596309769000,106.94886496836100
Collection O 91071 Hotel Desa Wisata Tmii,"Jl. Raya TMII, Cipayung, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia 13820 Jakarta DKI Jakarta",Rp801.899,4,4,Jakarta Timur,-6.304385116398130,106.90093596651
Stanley Wahid Hasyim Jakarta,"Jl. KH. Wahid Hasyim No. 65, Gondangdia, Menteng, DKI Jakarta, Indonesia",Rp720.888,4,4,Jakarta Pusat,-6.1873096677837000,106.82748499719700
Kantos Roxy Mas,"Jl. KH Hasyim Ashari,ITC Roxy Mas C5/11, Grogol, Jakarta Barat, DKI Jakarta, Indonesia",Rp139.900,4,4,Jakarta Pusat,-6.1685038946405400,106.80489591254100
Hotel Senen Indah Syari'ah,"Jl. Bungur Besar No.157, Bungur, Senen, Jakarta, Indonesia",Rp195.000,4,4,Jakarta Pusat,-6.173266495934560,106.84485748370500
Grand Orchardz Hotel Rajawali Kemayoran Jakarta,"Jl. Rajawali Selatan Raya No 1-B, RT.11/RW.6 Kemayoran, Jakarta Pusat, Indonesia",Rp825.480,1,1,Jakarta Pusat,-6.147951787223950,106.83864298185200
Gran Melia Jakarta,"Jl. HR. Rasuna Said Kav X-O, Kuningan, Jakarta Selatan",Rp2.393.285,6,7,Jakarta Selatan,-6.23487104950235,106.83014998370500
Asyana Kemayoran Jakarta,"Jl. Bungur Besar Raya No. 79-81, Kemayoran, Jakarta Pusat, Indonesia",Rp373.077,4,5,Jakarta Pusat,-6.1648182586522300,106.84167752603200
Oasis Amir Hotel,"Jl. Senen Raya Kav 135-137, Senen, Jakarta, Indonesia",Rp712.500,5,5,Jakarta Pusat,-6.174284563123270,106.83913259719700
D'Paragon Kebon Jeruk,"Jl. Perjuangan No. 7, RT. 3 / RW. 7, Kb. Jeruk, Kec. Kebon Jeruk, Kota Jakarta Barat, Jakarta, Indonesia",Rp227.375,1,3,Jakarta Barat,-6.19150906797434,106.76205094137700
Ameera Inn,"Jl. Jaya Mandala 1 No.14, Menteng Dalam, Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Rp160.000,1,1,Jakarta Selatan,-6.239262416621020,106.83785273798800
Residence 100,"Jl. Kota Bumi No. 31 Thamrin, Jakarta Pusat, Indonesia",Rp220.800,3,3,Jakarta Pusat,-6.199234580480000,106.82089452603300
Maxwell Hotel,"Jl. Pangeran Jayakarta No.70 , Mangga Besar, Jakarta, Indonesia",Rp470.000,1,3,Jakarta Pusat,-6.146517316623200,106.83143622418000
Barito Mansion,"Jl. Barito 1 No. 1, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Rp1.017.175,2,2,Jakarta Selatan,-6.241681543118320,106.79331795672100
AONE Hotel Jakarta,"Jl. Wahid Hasyim No.80, Jakarta Pusat, Indonesia",Rp704.977,2,2,Jakarta Pusat,-6.186608002147660,106.8280772125410
Arosa Hotel Jakarta,"Jl. RC Veteran No 3, Bintaro Pesanggrahan, Jakarta Selatan, Indonesia",Rp647.075,3,3,Jakarta Selatan,-6.263638634939430,106.76644473952500
Sotis Hotel Kemang,"Jl. Kemang Raya No. 4, Kemang, Mampang Prapatan, Jakarta Selatan, Indonesia",Rp650.000,1,4,Jakarta Selatan,-6.254767026039680,106.80929239904900
UROOMS Panglima Polim,"Jl. Jembatan Selatan. No.21, RT.10/RW.5, Pulo, Kec. Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp219.231,1,1,Jakarta Selatan,-6.252898985373860,106.79544836650900
Grand Picasso Hotel,"Jl. Kebon Kacang 9 No. 29A, Tanah Abang, Jakarta, Indonesia",Rp531.760,5,5,Jakarta Pusat,-6.193268269824840,106.81858289719700
Puri Maju,"Jl. Prof. DR. Latumeten III No.12, RT.17/RW.5, Jelambar, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp198.450,7,8,Jakarta Barat,-6.1603950892022600,106.78995174137700
Morrissey Hotel,"Jl. KH. Wahid Hasyim No.70, RT.7/RW.5, Kebon Sirih, Menteng, RT.7/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp1.030.440,4,4,Jakarta Pusat,-6.186779333948180,106.82923868370500
Grand Hyatt Jakarta,"Jl. M. H. Thamrin Kav. 28-30, Thamrin, Jakarta Pusat, Jakarta, Indonesia",Rp3.188.350,1,1,Jakarta Pusat,-6.193313900913130,106.82206626650800
Moritz Biz Gandaria,"Jl. Gandaria Tengah I No. 24, Kebayoran Baru, Jakarta Selatan, Indonesia",Rp473.393,5,8,Jakarta Selatan,-6.241792821289330,106.78976695301700
Capital O 91140 Ayodya Kebon Jeruk,"No. 5. Jl. Kelapa Dua Raya, Kebon Jeruk, Pos Pengumben, Jakarta Barat, Jakarta 11550, Indonesia",Rp234.906,2,2,Jakarta Barat,-6.213505703222060,106.76932999534500
Win Premier Hotel Mangga Besar,"Jl. Kartini Raya No.183, Mangga Dua Selatan, Mangga Dua, Sawah Besar, Jakarta, Indonesia",Rp312.800,4,7,Jakarta Pusat,-6.147841017285810,106.83374598370400
Amaris Hotel Thamrin City,"Gedung Thamrin City Lt. 6 Blok HT No.1 Jl. Thamrin Boulevard, Kebon Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp423.150,8,8,Jakarta Pusat,-6.194638470294500,106.8174718106890
Aruni Hotel,"Jl. RE Martadinata No. 10, Ancol, Jakarta, Indonesia",Rp220.000,4,4,Jakarta Utara,-6.13119537880903,106.82677631254000
Hotel Tugu Asri,"Jl. Jati Baru Raya No.7-9, RT.10/RW.3, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp182.750,2,2,Jakarta Pusat,-6.181413034139180,106.81544629904900
Hotel Caravan,"Jl. KH. Mas Mansyur No.50, RT 10/RW 12, Kb. Melati, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp195.500,2,2,Jakarta Pusat,-6.1921459468158000,106.81423576434500
Redstar Hotel Jakarta,"Jl Mangga Besar 8 No 12 VWXY, Taman Sari, Gajah Mada, Jakarta Barat",Rp306.432,2,2,Jakarta Barat,-6.151759756799780,106.82583929904900
Green Pramuka by AHF Pro,"Apartemen Green Pramuka City. Jl. Jend. Ahmad Yani Kav.49 Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp299.250,1,2,Jakarta Pusat,-6.1884310681677200,106.87323132603300
MK House SCBD,"Jl. Tulodong Bawah 9 No. 65-66, Kebayoran Baru Jakarta Selatan, Sudirman Central Business District, Jakarta Selatan, Jakarta, Indonesia",Rp259.750,4,4,Jakarta Selatan,-6.228580878460960,106.81086906650900
RedDoorz Plus Near RS Royal Taruma Grogol,"Jl. Dokter Makaliwe No.41d, RT.8/RW.4, Grogol, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp189.811,1,1,Jakarta Barat,-6.164776730395160,106.78945107275900
Lima Residence Tebet Manage By EHM,"Jl. Tebet Timur Dalam VIII T No.5, RT.6/RW.9, Tebet Timur, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp294.912,4,6,Jakarta Selatan,-6.241246743030120,106.85741432603300
BI Executive Hotel,"Jl. R. E. Martadinata No.2, Pademangan Bar., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Rp600.000,4,5,Jakarta Utara,-6.130434080252700,106.83240590991600
LeGreen Suite Kuningan,"Jl. Setiabudi Tengah No. 89, Jakarta Selatan",Rp331.423,1,1,Jakarta Selatan,-6.2084794796047900,106.82676179904900
OYO 122 Oekude Residence,"Jl. Industri 6 No.2A, RT.11/RW.1, Gn. Sahari Utara, Sawah Besar, DKI Jakarta, Indonesia",Rp184.242,1,1,Jakarta Pusat,-6.145295984728040,106.83498213952400
OYO 3300 Nadjara Residence Syariah,"01, Cipete Selatan, Cilandak, Jakarta",Rp116.343,3,3,Jakarta Selatan,-6.277195134274550,106.81014432418100
Daima Syariah Mansion Tebet,"Jl. Tebet Timur Dalam XI No.112,  RT 011 / RW 006, Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Rp240.000,2,4,Jakarta Selatan,-6.2416872950898,106.85836546650900
Best Inn Hotel Jakarta,"Jl. Hayam Wuruk No.1, Kebon Kelapa, Gambir, Jakarta Pusat, Jakarta, Indonesia",Rp188.000,3,6,Jakarta Pusat,-6.165574860036670,106.82138119904900
OYO 3865 Wisma Niaga,"Jl. Pasar Pagi I No 20, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",Rp115.656,1,1,Jakarta Barat,-6.139111685954390,106.80966092418000
RedDoorz Plus near Mall Ciputra Jakarta,"Jl. Salak Masir No. 8, Tanjung Duren, Jakarta, DKI Jakarta, Indonesia",Rp178.500,1,1,Jakarta Barat,-6.174778997147940,106.78003093952500
Urbanview Ta-ke Residence Blok M,"Jl. Sampit Satu No.9, RT.2/RW.6, Kramat Pela, Jakarta Selatan, DKI Jakarta, Indonesia",Rp198.660,2,2,Jakarta Selatan,-6.244714587529420,106.79635014137700
Urbanview Hotel Slipi Inn Palmerah,"Jl. Palmerah Barat No.72, Palmerah, Kec. Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta 10270",Rp217.016,2,2,Jakarta Barat,-6.207274413114210,106.79347295301700
RedDoorz Plus near Plaza Blok M,"Jl. Iskandarsyah I No.26, RT.5/RW.4, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp284.288,2,2,Jakarta Selatan,-6.246176964569240,106.8058039692980
OYO 90115 Near Pasar Baru,"1, Jalan 5 Dermawan, RW 04, Karang Anyar, 10740, Jakarta, DKI Jakarta",Rp160.930,1,1,Jakarta Pusat,-6.156283791107590,106.83071908370400
OYO 1868 J&b Room Pramuka Near RSUPN Dr.Cipto Mangunkusumo,"No. 9, Jl. Pramuka, Jakarta, 13140",Rp136.944,2,2,Jakarta Timur,-6.198622569981710,106.85509649719700
Red Planet Jakarta Pasar Baru,"Jl. K.H.Samanhudi No.25, Pasar Baru, Jakarta, Indonesia",Rp290.722,4,4,Jakarta Pusat,-6.159893993523200,106.83436424322900
OYO 90743 Kartini Populer,"104, Jalan Kartini 3 Dalam No. 104 A, Jakarta, Sawah Besar, Kartini, Jakarta, Indonesia, 10710",Rp134.435,1,1,Jakarta Pusat,-6.1567591573494100,106.83421089719600
Kantos Guest House,"Jl Musi No 3, Jakarta Pusat",Rp174.900,3,3,Jakarta Pusat,-6.175481363737740,106.8096203818520
Azka Hotel Managed by Salak Hospitality,"Slamet Riyadi No.11, RT.1/RW.4, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp375.145,3,3,Jakarta Timur,-6.211913773738550,106.8584965106890
Grand Thamrin Hotel,"Jl. Tlk. Betung I No.45D, RW.1, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp486.298,3,4,Jakarta Pusat,-6.1958743707181800,106.82014529534400
LeGreen Suite Supomo,"Komp. Keuangan No. 1 RT 03/ RW 03, Tebet, Jakarta, Indonesia",Rp294.975,4,4,Jakarta Selatan,-6.233761652959890,106.8433041971970
Djuragan Kamar Toku House Slipi,"Jl. Palmerah Utara No.17b, RW.1, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp264.000,1,3,Jakarta Pusat,-6.202012574710340,106.79914312603300
OYO 3785 Kemayoran Residence,"Jl. Kepu Timur No.18B, RT.5/RW.6, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",Rp151.834,1,1,Jakarta Pusat,-6.165253026686470,106.84537409719600
RedDoorz @ Cilandak Timur,"Jl. Jaha No.81, Cilandak Timur, Cilandak, Jakarta Selatan, Indonesia",Rp185.092,3,3,Jakarta Selatan,-6.295464868227630,106.80956885063900
RedDoorz Plus @ Thamrin,"Jl. Blora No.23, Menteng, Thamrin, Jakarta, Indonesia",Rp248.040,3,3,Jakarta Pusat,-6.200645670553020,106.82353138185300
OYO 371 Kwitang Guest House,"Jl. Kramat Kwitang I No.55, RT.4/RW.8, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",Rp286.089,1,1,Jakarta Pusat,-6.183717700146640,106.84099889534400
RedDoorz Premium near RS Pondok Indah La Maison,"Jl. Metro Duta Niaga UB 11, Pondok Indah, Jakarta Selatan, Jakarta, Indonesia",Rp348.075,3,3,Jakarta Selatan,-6.284856901445430,106.7818565567220
OYO 90109 Wisma Basco Syariah,"110, Jl. K.H. Mas Mansyur No.110, RT.5/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jakarta",Rp186.155,1,2,Jakarta Pusat,-6.197973678015770,106.81426907021300
Hotel Istana Bungur,"Jl. Bungur Besar 12 No. 2, Kemayoran, Jakarta Pusat, Jakarta, Indonesia",Rp184.211,3,3,Jakarta Pusat,-6.166552260949900,106.84263166836000
Cipta Hotel Pancoran,"Jl. Raya Pasar Minggu No.19, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",Rp570.000,2,2,Jakarta Selatan,-6.247098383722510,106.84346434137700
LeGreen Suite Setiabudi,Jl. Setia Budi VI No.29 - Jakarta Selatan,Rp270.135,4,7,Jakarta Selatan,-6.20697937452905,106.82490649719700
RedDoorz Plus @ Pondok Labu,"Jalan Pinang Raya, No.88, Pondok Labu, Kecamatan Cilandak",Rp209.147,2,2,Jakarta Selatan,-6.308922590906640,106.79517297115000
Puri Inn Hotel,"Jl. Raden Saleh Raya No.39 RT.1/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp212.308,4,4,Jakarta Pusat,-6.191949404408420,106.84195735301700
Tamarin Hotel Jakarta,"Jalan KH. Wahid Hasyim No. 77, Gondangdia, Menteng, Jakarta Pusat",Rp550.000,4,4,Jakarta Pusat,-6.187249367763080,106.82680676836100
OYO 90244 Hotel Antara,"001, Jl. Antara No.39, RT.2/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Jakarta",Rp200.965,2,3,Jakarta Pusat,-6.166026560802290,106.83287818370400
OYO 90692 Point Hostel,"16, Jl. Kota Baru No.16, RT.11/RW.6, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia, Jakarta",Rp142.420,2,2,Jakarta Pusat,-6.170096028534310,106.80596529904900
RedDoorz Plus @ Jalan Pemuda Jakarta,"Jl. Pemuda No.10, Rawamangun, Jakarta, Indonesia",Rp237.405,3,3,Jakarta Timur,-6.19303100486645,106.90146674137700
Adaru Property @ Sunter Park View,"Jl. Laksamana Yos Sudarso Kav 30A, Sunter, Jakarta, Indonesia",Rp183.150,4,4,Jakarta Utara,-6.156795255668090,106.8829094241800
Bobobox Pancoran,"Jl. Raya Pasar Minggu Kav. B7, B8, B9, C7, dan C8, RT 01 / RW 04, Pancoran, Jakarta, Indonesia",Rp233.350,2,2,Jakarta Selatan,-6.246421088119190,106.84235488185300
Urbanview Hotel Casa Kota Mangga Besar,"Jl. Mangga Besar 1 27-39, RT.5/RW.5, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota",Rp191.188,3,6,Jakarta Barat,-6.148611821689390,106.81852055486800
RedDoorz near RSUD Koja,"Jl. Mangga No. 8, RT 004 RW 010, Koja, Jakarta Utara, Indonesia",Rp192.871,2,2,Jakarta Utara,-6.116189604763510,106.91071296650800
Smart Hotel Thamrin Jakarta,"Jl. Tanjung Karang No. 2, Thamrin-Jakarta Pusat 10230, Indonesia",Rp276.000,5,8,Jakarta Pusat,-6.199840972078580,106.82264531439300
RedDoorz Plus near Ciputra World Kuningan 2,"Wisma KS 23. Jl. Karet Sawah I No. 23 , Karet Semanggi, Setiabudi, Jakarta Selatan,  Indonesia",Rp174.434,1,1,Jakarta Selatan,-6.223803714719160,106.81919008185300
Grand G7 Hotel Pasar Baru,"Jl. Kh. Samanhudi No. 24A - 26, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp447.700,3,6,Jakarta Pusat,-6.162146029185080,106.83035005765800
OYO 90056 Wisma Kebon Kacang 9,"1,Yayasan Pendidikan Said Naum, Jalan Kebon Kacang 9, RW 05, Kebon Kacang, Daerah Khusus Ibukota Jakarta, Kebon Kacang, Tanah Abang,10240,Jakarta,DKI Jakarta",Rp308.881,2,2,Jakarta Pusat,-6.1912851016556600,106.81883808185300
Leaf Hotel,"Jl. Mangga Besar IV I No.29, RT.4/RW.1, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp248.411,2,4,Jakarta Barat,-6.1489372074095600,106.8252317529550
SPOT ON 3072 Wisma Madinah Syariah,"11, Jl. Kebon Kacang V No.67, RT.11/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Jakarta",Rp123.763,1,1,Jakarta Pusat,-6.189667369729170,106.81815043952500
Bobobox Juanda Jakarta,"Ruko Raffles Square Blok A No. 5, Jl. Ir. H. Juanda No.01, Gambir, RT08/RW01, Kel. Pasar Baru, Sawah Besar, Jakarta Pusat., Pasar Baru, Sawah Besar, Jakarta, Indonesia",Rp233.350,2,2,Jakarta Pusat,-6.167474827944750,106.83082498185200
RedDoorz Plus near Hayam Wuruk 2,"Jl. Hayam Wuruk No.78P, RT.9/RW.5, Maphar, Kec. Taman Sari, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp160.225,2,2,Jakarta Barat,-6.155469653211150,106.81847699534400
RedDoorz Plus near Dunia Fantasi Ancol,"Jl. R E Martadinata No.2, RT.1/RW.11, Pademangan Barat, Kec. Pademangan, Jakarta Utara, DKI Jakarta, Indonesia",Rp252.875,2,2,Jakarta Utara,-6.130701883435940,106.83251838185200
Picasso Inn,"Jl. Abdul Majid Raya No. 25, Cipete Selatan, Kemang, Jakarta, Indonesia",Rp386.400,1,1,Jakarta Selatan,-6.2668786363275400,106.80269301068900
RedDoorz near Pasar Baru 3,"Jalan A Gang 5 no.16, Karang Anyar, Jakarta Pusat, DKI Jakarta, Indonesia",Rp168.487,1,1,Jakarta Pusat,-6.156194530580340,106.8306279355750
OYO 868 Wisma Berkat Near Patria Hospital IKKT,"Jl. Kyai H. Taisir No.19A, RT.4/RW.11, Palmerah, Kota Jakarta Barat, DKI Jakarta, Indonesia",Rp115.615,1,1,Jakarta Barat,-6.19859747333139,106.78759471068900
Nusalink Near Tanah Abang Eco 1,"Jl. K.H. Mas Mansyur No.36, Kb. Kacang, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",Rp341.000,2,2,Jakarta Pusat,-6.191788934301030,106.81454606693200
RedLiving Apartemen Bassura City - Byrin Property Tower Jasmine,"Jl. Jend. Basuki Rachmat No.8 RT.8/RW.10, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp206.368,2,5,Jakarta Timur,-6.224515018233990,106.87838425486900
RedDoorz near Taman Palem,"Jl. Perum KFT Blok A8 No. 1 Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Rp191.250,2,2,Jakarta Barat,-6.1354857143817,106.72547113846200
RedDoorz near Hayam Wuruk,"Jl. Kebon Jeruk 15, No 15. Hayam Wuruk, Jakarta Barat, Indonesia",Rp134.545,2,2,Jakarta Barat,-6.153264951210930,106.81996020037400
OYO 779 Mn One Residence Syariah,"Jl. Letjend Suprapto No.66-67 RT.14/RW.5, Cemp. Putih Tim., Cemp. Putih, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Rp78.959,1,1,Jakarta Pusat,-6.168095061215100,106.87047678370500
Urbanview Hotel Minongga Pondok Labu,"Jalan Pinang Raya, No.15, Pondok Labu, Kecamatan Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp176.640,2,4,Jakarta Selatan,-6.308653409736870,106.79633585487000
RedDoorz @ Pangeran Antasari 2,"Jl. Asem 2 No. 33, Cipete Selatan, Jakarta, Indonesia",Rp193.375,1,1,Jakarta Selatan,-6.271757673800980,106.80688854137700
